timestamp,temperature,humidity,pressure,rain_mm,rain_analog,battery_pct
2023-06-25 00:00:00,24.8,96,1003.1,2.3,202,90
2023-06-25 01:00:00,24.6,97,1002.8,3.8,279,90
2023-06-25 02:00:00,24.7,95,1002.4,5.3,192,95
2023-06-25 03:00:00,24.9,94,1002.1,3.4,114,96
2023-06-25 04:00:00,24.8,96,1002.0,3.2,206,97
2023-06-25 05:00:00,24.6,97,1002.3,2.6,171,92
2023-06-25 06:00:00,24.5,99,1002.6,4.8,288,90
2023-06-25 07:00:00,25.4,93,1003.7,6.9,120,94
2023-06-25 08:00:00,25.5,94,1003.8,1.2,452,97
2023-06-25 09:00:00,26.0,93,1003.9,0.9,471,93
2023-06-25 10:00:00,26.7,89,1003.8,1.0,564,91
2023-06-25 11:00:00,27.2,84,1003.8,0.6,437,98
2023-06-25 12:00:00,27.5,83,1003.7,0.4,449,98
2023-06-25 13:00:00,27.5,82,1003.0,0.3,501,92
2023-06-25 14:00:00,27.8,82,1002.3,0.4,480,96
2023-06-25 15:00:00,27.6,83,1001.6,0.5,499,90
2023-06-25 16:00:00,28.0,82,1001.2,0.3,607,97
2023-06-25 17:00:00,28.3,80,1001.0,0.2,643,97
2023-06-25 18:00:00,27.5,84,1001.4,0.1,951,92
2023-06-25 19:00:00,26.9,85,1002.7,0.0,1013,94
2023-06-25 20:00:00,26.6,88,1003.7,0.0,1009,93
2023-06-25 21:00:00,26.4,89,1004.0,0.0,970,96
2023-06-25 22:00:00,26.0,92,1004.5,0.0,982,96
2023-06-25 23:00:00,25.9,94,1004.6,0.0,1007,97
2023-06-26 00:00:00,25.7,96,1004.0,0.0,971,94
2023-06-26 01:00:00,25.5,97,1003.5,0.0,998,94
2023-06-26 02:00:00,25.1,96,1003.4,0.2,408,97
2023-06-26 03:00:00,25.0,96,1003.5,0.3,519,94
2023-06-26 04:00:00,24.6,97,1003.5,0.7,537,90
2023-06-26 05:00:00,24.5,97,1003.6,1.1,620,92
2023-06-26 06:00:00,24.4,97,1004.0,2.2,289,91
2023-06-26 07:00:00,24.6,97,1004.6,1.4,524,99
2023-06-26 08:00:00,25.2,93,1005.0,0.5,400,94
2023-06-26 09:00:00,25.5,94,1005.2,0.4,404,97
2023-06-26 10:00:00,26.1,88,1005.5,0.2,593,98
2023-06-26 11:00:00,26.5,86,1005.7,0.1,1013,98
2023-06-26 12:00:00,26.5,87,1005.0,0.1,952,90
2023-06-26 13:00:00,26.1,91,1004.0,0.6,484,90
2023-06-26 14:00:00,26.1,91,1003.2,0.7,370,90
2023-06-26 15:00:00,26.0,90,1002.6,0.2,516,90
2023-06-26 16:00:00,26.1,89,1002.1,0.1,967,98
2023-06-26 17:00:00,26.4,88,1002.1,0.0,953,90
2023-06-26 18:00:00,26.5,89,1002.6,0.0,1009,96
2023-06-26 19:00:00,26.3,89,1002.8,0.0,963,95
2023-06-26 20:00:00,25.8,92,1003.6,0.0,958,98
2023-06-26 21:00:00,25.5,93,1004.7,0.0,1002,98
2023-06-26 22:00:00,25.3,95,1004.9,0.0,951,93
2023-06-26 23:00:00,25.0,96,1005.3,0.3,441,98
2023-06-27 00:00:00,25.0,95,1004.9,0.3,613,95
2023-06-27 01:00:00,24.5,96,1004.3,3.5,274,94
2023-06-27 02:00:00,24.4,97,1004.1,1.2,384,98
2023-06-27 03:00:00,24.4,97,1003.9,4.0,180,96
2023-06-27 04:00:00,24.0,98,1003.9,2.4,263,98
2023-06-27 05:00:00,24.0,98,1004.3,1.7,399,94
2023-06-27 06:00:00,24.0,98,1004.8,4.7,203,93
2023-06-27 07:00:00,25.5,94,1005.4,0.3,351,99
2023-06-27 08:00:00,26.6,88,1005.9,0.0,955,92
2023-06-27 09:00:00,27.6,81,1006.5,0.0,1003,94
2023-06-27 10:00:00,27.4,82,1006.5,0.0,953,98
2023-06-27 11:00:00,28.6,79,1005.9,0.1,1003,92
2023-06-27 12:00:00,30.4,74,1005.6,0.4,540,90
2023-06-27 13:00:00,30.0,72,1004.7,0.0,967,91
2023-06-27 14:00:00,29.6,76,1003.8,0.6,567,99
2023-06-27 15:00:00,30.1,74,1003.1,0.1,993,94
2023-06-27 16:00:00,29.9,76,1002.7,0.0,983,92
2023-06-27 17:00:00,29.5,77,1002.7,0.0,1011,95
2023-06-27 18:00:00,29.0,80,1003.3,0.0,963,97
2023-06-27 19:00:00,27.6,85,1004.4,0.0,997,95
2023-06-27 20:00:00,27.1,87,1005.4,0.0,964,99
2023-06-27 21:00:00,27.2,87,1006.2,0.0,1021,98
2023-06-27 22:00:00,26.9,89,1006.7,0.0,1011,95
2023-06-27 23:00:00,26.8,89,1006.9,0.0,989,94
2023-06-28 00:00:00,26.5,90,1006.9,0.0,1002,93
2023-06-28 01:00:00,26.3,90,1006.5,0.1,973,91
2023-06-28 02:00:00,26.0,91,1006.2,0.0,975,95
2023-06-28 03:00:00,25.5,94,1006.1,0.0,1009,91
2023-06-28 04:00:00,25.4,96,1006.1,0.0,990,94
2023-06-28 05:00:00,25.1,97,1006.2,0.0,978,90
2023-06-28 06:00:00,25.5,96,1006.3,0.0,964,92
2023-06-28 07:00:00,26.5,92,1006.7,0.0,994,99
2023-06-28 08:00:00,28.4,84,1006.8,0.1,1014,94
2023-06-28 09:00:00,29.8,77,1006.9,0.1,1020,96
2023-06-28 10:00:00,30.9,73,1007.0,0.0,958,97
2023-06-28 11:00:00,31.9,70,1006.6,0.0,950,96
2023-06-28 12:00:00,32.3,67,1005.5,0.1,957,96
2023-06-28 13:00:00,31.2,71,1004.5,1.3,412,91
2023-06-28 14:00:00,32.2,66,1003.3,0.1,960,95
2023-06-28 15:00:00,32.1,65,1002.6,0.3,430,94
2023-06-28 16:00:00,31.3,71,1002.3,0.1,957,98
2023-06-28 17:00:00,30.9,73,1001.9,0.1,984,99
2023-06-28 18:00:00,30.2,74,1002.1,0.0,984,93
2023-06-28 19:00:00,29.5,76,1003.1,0.0,982,96
2023-06-28 20:00:00,29.0,78,1003.6,0.0,954,97
2023-06-28 21:00:00,28.3,82,1004.3,0.0,990,95
2023-06-28 22:00:00,27.8,86,1005.1,0.0,977,92
2023-06-28 23:00:00,27.5,88,1005.2,0.0,956,94
2023-06-29 00:00:00,27.2,89,1004.8,0.0,1022,90
2023-06-29 01:00:00,27.0,90,1004.4,0.0,1021,97
2023-06-29 02:00:00,26.8,92,1004.0,0.0,961,91
2023-06-29 03:00:00,26.6,94,1003.6,0.0,983,99
2023-06-29 04:00:00,26.5,95,1003.3,0.0,982,96
2023-06-29 05:00:00,26.4,95,1003.4,0.0,997,98
2023-06-29 06:00:00,26.7,94,1003.7,0.0,972,90
2023-06-29 07:00:00,28.2,87,1004.6,0.0,1011,93
2023-06-29 08:00:00,29.6,81,1004.4,0.0,986,96
2023-06-29 09:00:00,30.8,78,1004.3,0.0,993,98
2023-06-29 10:00:00,31.5,75,1003.9,0.1,984,91
2023-06-29 11:00:00,32.4,72,1003.3,0.1,1014,91
2023-06-29 12:00:00,33.5,65,1002.1,0.0,996,95
2023-06-29 13:00:00,33.9,63,1000.8,0.0,952,92
2023-06-29 14:00:00,34.2,61,999.7,0.0,950,93
2023-06-29 15:00:00,34.2,60,998.8,0.0,954,92
2023-06-29 16:00:00,33.7,63,997.9,0.0,963,90
2023-06-29 17:00:00,33.0,68,997.6,0.0,976,95
2023-06-29 18:00:00,31.9,72,997.9,0.0,958,91
2023-06-29 19:00:00,30.5,77,999.3,0.0,964,91
2023-06-29 20:00:00,29.9,79,1000.3,0.0,991,96
2023-06-29 21:00:00,29.1,81,1001.3,0.0,1000,94
2023-06-29 22:00:00,28.8,83,1001.9,0.0,1012,97
2023-06-29 23:00:00,28.5,85,1002.1,0.0,1001,91
2023-06-30 00:00:00,28.2,87,1001.5,0.0,953,99
2023-06-30 01:00:00,28.1,88,1001.0,0.0,972,97
